,05M09,23M20,Décès,05K06,05K10,05M12,05M20,04M14,11M19,11M06,23M10,23M06,23K02,09M05,04M13,04M05,06M04,08M35,09M08,08C49,05K24,04M07,11C13,08M37,09M12,11M12,17M07,16M11,09M06,06C12,01K04,07C14,10M16,07M02,08M14,01M11,07M07,05M17,03M05,23M14,08C29,04M10,10M13,08M29,19M06,05C08,01M17,05M15,18M07,05C05,17M12,21M10,18M04,08C62,05K13,05M13,16M09,01M12,02C05,11C02,02M04,11M17,06M13,06M12,05K26,19M02,04M20,04M25,05C19,19M11,11M04,05M06,05M08,07M14,17M16,20Z05,05M05,08C56,08M25,01C13,10M03,06M09,08M15,06K04,08C61,01M30,06M06,01M20,06C07,01C08,11M18,10M02,09C09,05C10,01M34,05C03,08M19,05K20,04M22,06M03,04M03,11K02,08M32,04C04,23M21,21M16,05C18,11K08,05K22,10C05,21M15,06C04,12M05,02C08,05C22,05K05,12M06,06K03,05C13,16M15,16M06,27C04,06M18,06K05,05K19,04M11,08M18,05K14,05M04,17M11,08M31,11M07,08C44,06C15,20Z04,05K21,09C03,11C04,08C06,08M36,01M19,05M22,05M21,06M17,01M32,01M21,05K25,05K17,03M09,09M11,10C08,05C21,01C15,11K03,23M19,21M14,23M16,01C06,22M02,16M10,05M16,06M16,01M18,10M18,11C11,04M16,23M08,17K07,08M21,08M07,01M16,19M07,18C02,23C02,06K02,05C11,09M03,05C12,07M13,06C21,01C04,05C02,04M17,08M04,09K02,06C23,01C14,09C15,05M07,23Z02,08M26,04M09,03M07,01M13,09C02,27C05,05M11,05C15,05K15,17M14,08C39,11M16,11C05,08C47,08C27,06C14,11C09,03C16,08M10,07M10,07K04,08M08,08C22,05C20,05M18,01M26,21C05,01M15,19C02,07M04,16C03,10M07,12C04,05M23,01M07,06M19,03M14,19M21,08C37,17M15,21M11,04C02,06K06,23M15,03K02,04M12,08C48,08C46,06M05,11C08,12C07,06C22,05C14,04M15,03C17,01M10,10M08,04M08,05K23,11K04,16M13,11M15,04M23,02C02,09M07,06M20,07M06,04K02,18M13,08C21,03M06,07C13,04M24,04C03,01M35,06M11,01M22,05M14
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.21705426356589147,0.05426356589147287,0.046511627906976744,0.03875968992248062,0.03875968992248062,0.031007751937984496,0.031007751937984496,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.18699186991869918,0.024390243902439025,0.056910569105691054,,0.008130081300813009,0.008130081300813009,0.024390243902439025,,,0.016260162601626018,,,,,0.024390243902439025,0.016260162601626018,,0.008130081300813009,,0.008130081300813009,,0.008130081300813009,0.008130081300813009,,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.04878048780487805,0.008130081300813009,,0.008130081300813009,,,,0.008130081300813009,,0.008130081300813009,0.032520325203252036,,,,,0.008130081300813009,,,,0.008130081300813009,0.008130081300813009,,0.008130081300813009,0.008130081300813009,,0.008130081300813009,,,0.008130081300813009,,0.008130081300813009,0.024390243902439025,0.008130081300813009,,,0.008130081300813009,,0.016260162601626018,,0.032520325203252036,0.024390243902439025,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.06896551724137931,0.008620689655172414,,0.017241379310344827,0.0603448275862069,,,,0.008620689655172414,0.017241379310344827,0.017241379310344827,0.017241379310344827,,0.008620689655172414,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.008620689655172414,,,,0.017241379310344827,,,0.008620689655172414,,,0.08620689655172414,,,0.008620689655172414,,,,0.008620689655172414,,,0.017241379310344827,,,,,,0.008620689655172414,,,,,0.008620689655172414,,,,,,0.008620689655172414,0.008620689655172414,,0.008620689655172414,0.02586206896551724,,,0.008620689655172414,0.008620689655172414,,0.017241379310344827,,0.05172413793103448,,,,0.008620689655172414,0.008620689655172414,0.017241379310344827,0.017241379310344827,,0.017241379310344827,,0.008620689655172414,0.008620689655172414,,,,,,,,,,,,,0.017241379310344827,,0.008620689655172414,0.008620689655172414,,,,0.02586206896551724,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.11206896551724138,0.017241379310344827,0.02586206896551724,0.034482758620689655,,0.02586206896551724,0.008620689655172414,0.008620689655172414,,,0.008620689655172414,0.02586206896551724,0.02586206896551724,,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.008620689655172414,,,,0.02586206896551724,0.008620689655172414,,0.008620689655172414,,,0.04310344827586207,0.017241379310344827,0.008620689655172414,,,0.008620689655172414,,0.017241379310344827,,0.008620689655172414,0.017241379310344827,,,,,,,,,0.008620689655172414,0.008620689655172414,0.008620689655172414,,,0.008620689655172414,,,,,,0.008620689655172414,0.008620689655172414,,,,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.02586206896551724,,0.008620689655172414,0.008620689655172414,,0.017241379310344827,0.008620689655172414,0.008620689655172414,,0.008620689655172414,0.008620689655172414,,0.008620689655172414,,0.008620689655172414,0.008620689655172414,,0.008620689655172414,,,,,,,,,,,0.017241379310344827,,0.008620689655172414,,,0.008620689655172414,,0.017241379310344827,,,0.008620689655172414,0.008620689655172414,,,,,,0.008620689655172414,,,,,,,0.008620689655172414,,,,0.017241379310344827,0.008620689655172414,,,0.008620689655172414,,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.13274336283185842,0.017699115044247787,0.04424778761061947,0.035398230088495575,0.017699115044247787,0.017699115044247787,0.008849557522123894,,0.008849557522123894,,0.008849557522123894,0.017699115044247787,0.017699115044247787,0.017699115044247787,,0.02654867256637168,0.008849557522123894,,0.008849557522123894,,,,0.008849557522123894,,,0.008849557522123894,0.008849557522123894,0.035398230088495575,,,,,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.008849557522123894,,,,,,,,,0.008849557522123894,,,0.008849557522123894,,,,,,,0.008849557522123894,0.017699115044247787,,0.008849557522123894,0.02654867256637168,,,0.008849557522123894,0.017699115044247787,0.017699115044247787,,,0.02654867256637168,,0.02654867256637168,,0.017699115044247787,,0.008849557522123894,0.008849557522123894,,0.008849557522123894,,,0.017699115044247787,,,,,,,,,,,,,0.008849557522123894,,0.008849557522123894,,,,0.008849557522123894,,,0.017699115044247787,,,,,0.008849557522123894,,,,,,0.02654867256637168,,,,,,,,,,,,,0.008849557522123894,0.008849557522123894,0.008849557522123894,,,,,,,,,,,,,,,0.008849557522123894,,,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.12962962962962962,0.027777777777777776,0.037037037037037035,0.018518518518518517,0.027777777777777776,0.018518518518518517,0.018518518518518517,,0.009259259259259259,0.027777777777777776,,0.018518518518518517,,,,0.037037037037037035,0.027777777777777776,0.009259259259259259,,,,,,,,0.009259259259259259,,0.018518518518518517,0.009259259259259259,,0.009259259259259259,,0.018518518518518517,,,0.009259259259259259,,0.009259259259259259,,,,,,0.009259259259259259,,,,,0.009259259259259259,,,,,,,0.009259259259259259,,0.009259259259259259,0.009259259259259259,,,0.009259259259259259,0.018518518518518517,,0.009259259259259259,,0.027777777777777776,,,,,,0.009259259259259259,0.018518518518518517,0.009259259259259259,0.009259259259259259,,,,,,,,0.009259259259259259,,,0.009259259259259259,,,,0.009259259259259259,0.009259259259259259,,0.018518518518518517,,0.009259259259259259,,0.009259259259259259,0.009259259259259259,,,0.009259259259259259,,,0.009259259259259259,0.009259259259259259,,,,,,0.009259259259259259,,,,,,,0.009259259259259259,,,,,,0.009259259259259259,0.009259259259259259,,0.009259259259259259,0.009259259259259259,,,,,,,0.009259259259259259,,,,0.009259259259259259,,,,0.009259259259259259,,,,,,,,,,,,,,,,,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.16346153846153846,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.04807692307692308,0.019230769230769232,,,,0.009615384615384616,,0.028846153846153848,,0.009615384615384616,0.038461538461538464,0.028846153846153848,0.019230769230769232,,,,,0.009615384615384616,,,,,,0.04807692307692308,0.009615384615384616,,0.009615384615384616,,,,,,,0.009615384615384616,,0.009615384615384616,,,,0.009615384615384616,,0.009615384615384616,,,0.009615384615384616,,0.009615384615384616,0.009615384615384616,,,,0.009615384615384616,,,0.009615384615384616,,,0.009615384615384616,,,,,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.019230769230769232,,0.028846153846153848,0.009615384615384616,,,,,0.009615384615384616,,,,,,,,,,,,0.009615384615384616,,,0.009615384615384616,,,,,,,0.019230769230769232,,,,,,,,,,,,,,,,0.019230769230769232,,0.009615384615384616,,,,,,0.009615384615384616,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,0.009615384615384616,,,,,0.009615384615384616,,,0.009615384615384616,,,,,,,,0.009615384615384616,,,0.019230769230769232,,0.009615384615384616,,,,,,,,,,0.019230769230769232,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.07766990291262135,0.009708737864077669,0.06796116504854369,0.019417475728155338,0.02912621359223301,0.009708737864077669,,,0.009708737864077669,0.009708737864077669,,0.02912621359223301,0.02912621359223301,0.019417475728155338,,0.02912621359223301,0.019417475728155338,0.009708737864077669,,0.009708737864077669,,,0.009708737864077669,,,,,0.02912621359223301,,0.009708737864077669,0.009708737864077669,,0.009708737864077669,0.009708737864077669,,0.009708737864077669,0.009708737864077669,,,0.009708737864077669,,,0.009708737864077669,0.009708737864077669,,,,0.009708737864077669,,,0.009708737864077669,,,,0.009708737864077669,,,0.009708737864077669,0.019417475728155338,,,0.009708737864077669,0.009708737864077669,,0.009708737864077669,0.019417475728155338,0.05825242718446602,,,,0.019417475728155338,,,0.02912621359223301,,0.009708737864077669,,,,,,0.009708737864077669,,,,,,,,,0.009708737864077669,0.009708737864077669,,,,,,,,,,0.009708737864077669,,,,,,,,,,0.009708737864077669,,,,,0.009708737864077669,,0.009708737864077669,,,,,0.009708737864077669,,0.019417475728155338,0.009708737864077669,,,,,,,0.009708737864077669,,,,,,,,,,0.009708737864077669,,,0.009708737864077669,,,,,,,,,,,,,,,,,,0.009708737864077669,,,,,,,,,,,0.019417475728155338,,,,,,,,,,,,,,0.02912621359223301,0.019417475728155338,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.052083333333333336,0.010416666666666666,0.03125,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,,0.010416666666666666,0.010416666666666666,0.010416666666666666,,0.010416666666666666,0.03125,0.020833333333333332,,,,,,0.020833333333333332,,,,,,0.020833333333333332,0.020833333333333332,,0.010416666666666666,,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,,0.020833333333333332,,,,,,,,0.010416666666666666,,,0.010416666666666666,,,0.020833333333333332,,,0.010416666666666666,,,,,,,,0.010416666666666666,,,,0.03125,,,,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.03125,,,,,0.010416666666666666,,,,,,,,,,,,0.020833333333333332,,,,,0.010416666666666666,0.010416666666666666,,,,0.020833333333333332,,0.010416666666666666,,0.010416666666666666,,,,,,,0.010416666666666666,,,,0.020833333333333332,,,,,,,,,0.010416666666666666,0.010416666666666666,,,0.010416666666666666,0.010416666666666666,,,,,,,,,,,,,,,,,,,,,,0.010416666666666666,,,,,0.010416666666666666,,,,,,,,,,,,,,,0.010416666666666666,,,0.010416666666666666,,,0.010416666666666666,,,,,,,,,,,,0.010416666666666666,,,0.010416666666666666,,,,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
